Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Sphere-30d,random,StandardABC,3.1104433242245575e-13,2.7109868630269103e-13,2.1007916487916162e-13,6.996768056833813e-14,1.2261941941467309e-12
Sphere-30d,cahotic,StandardABC,3.7870772507403777e-13,3.9318822832497117e-13,2.623412952446908e-13,7.769619725724562e-14,1.7334755562422996e-12
Sphere-30d,random,ModifiedABC,9.225044509592594e-17,2.061611966736675e-17,1.0363119520208546e-16,3.215222924089399e-17,1.0865551865641768e-16
Sphere-30d,cahotic,ModifiedABC,1.0004492079208316e-16,1.638738479133906e-17,1.0453888149674923e-16,4.101581350615927e-17,1.1079383647150384e-16
Sphere-30d,random,ABC/best/1,3.1476584388337823e-16,1.4044157865205294e-17,3.1511327833647887e-16,2.804331476832449e-16,3.324511833609952e-16
Sphere-30d,cahotic,ABC/best/1,2.7655497393687426e-16,7.117650026868481e-17,2.994129019354831e-16,9.482506996277721e-17,3.321925750550969e-16
Sphere-30d,random,ABC/best/2,2.9571934672473922e-16,5.111118632683891e-17,3.069946161982348e-16,1.1048718776772864e-16,3.2814053247571935e-16
Sphere-30d,cahotic,ABC/best/2,2.895239646373035e-16,5.75357961522801e-17,3.0661061825037446e-16,1.1098388991384037e-16,3.3219813231229927e-16
Rosenbrock-30d,random,StandardABC,14.126198354062524,4.46266243633528,13.754386070936777,5.966319913235512,21.673505122255445
Rosenbrock-30d,cahotic,StandardABC,3.4439612500105286,3.045297883008504,1.6128452357397254,0.38554894044177307,9.752861889642386
Rosenbrock-30d,random,ModifiedABC,27.593704422447612,0.21013831645729347,27.567028894865782,27.144582727837356,27.972396575946952
Rosenbrock-30d,cahotic,ModifiedABC,27.7109133833159,0.2244979351647065,27.736485346381333,27.19143313337694,28.065274218836777
Rosenbrock-30d,random,ABC/best/1,24.304998406812583,2.218606688713507,24.39758509955603,18.19273967802049,27.980375100015806
Rosenbrock-30d,cahotic,ABC/best/1,13.305189500902943,19.007540585462763,3.777213915378265,0.037421946384717915,75.80251378734971
Rosenbrock-30d,random,ABC/best/2,21.506696013595203,4.559118322437813,23.22490869008038,12.8996871135981,27.263700831266362
Rosenbrock-30d,cahotic,ABC/best/2,13.515597239425238,8.309215817127699,11.795606708145915,0.011751429617268909,27.969590427430155
Ackley-30d,random,StandardABC,5.020655630498065e-08,3.581930540496948e-08,4.55964368484274e-08,8.819164065698715e-09,1.260089170784795e-07
Ackley-30d,cahotic,StandardABC,6.366579867744804e-08,4.7632639667454016e-08,4.9093792142684833e-08,5.4177178299141815e-09,1.6346441711334592e-07
Ackley-30d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Ackley-30d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Ackley-30d,random,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Ackley-30d,cahotic,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Ackley-30d,random,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Ackley-30d,cahotic,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Rastrigin-30d,random,StandardABC,0.2887843874158079,0.5666710748760193,0.00041647648885145827,5.7666454722493654e-08,1.9902113024487562
Rastrigin-30d,cahotic,StandardABC,0.21214240511292626,0.42214230749175824,1.634641603232012e-05,4.912220674668788e-08,1.1666103615835937
Rastrigin-30d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-30d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-30d,random,ABC/best/1,3.789561257387201e-15,1.4179239871335168e-14,0.0,0.0,5.684341886080802e-14
Rastrigin-30d,cahotic,ABC/best/1,3.789561257387201e-15,1.4179239871335166e-14,0.0,0.0,5.684341886080802e-14
Rastrigin-30d,random,ABC/best/2,3.789561257387201e-15,1.4179239871335168e-14,0.0,0.0,5.684341886080802e-14
