Function,Initialization,Mutation,OptValue
Rastrigin-2d,cahotic,StandardABC,0.0
Rastrigin-2d,cahotic,StandardABC,0.0
Rastrigin-2d,cahotic,StandardABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,random,ModifiedABC,0.0
Rastrigin-2d,cahotic,ModifiedABC,6.844359745628026e-09
Rastrigin-2d,cahotic,ModifiedABC,3.1163629898856016e-08
Rastrigin-2d,cahotic,ModifiedABC,2.610377944023412e-06
Rastrigin-2d,cahotic,ModifiedABC,9.259708946274259e-07
Rastrigin-2d,cahotic,ModifiedABC,0.0
Rastrigin-2d,cahotic,ModifiedABC,0.0
Rastrigin-2d,cahotic,ModifiedABC,0.0
Rastrigin-2d,cahotic,ModifiedABC,2.855469105611519e-08
Rastrigin-2d,cahotic,ModifiedABC,1.5033877699986071
Rastrigin-2d,cahotic,ModifiedABC,1.459005524794538
Rastrigin-2d,cahotic,ModifiedABC,1.0986864396045348e-07
Rastrigin-2d,cahotic,ModifiedABC,6.056982826407875e-08
Rastrigin-2d,cahotic,ModifiedABC,0.00010012636187184398
Rastrigin-2d,cahotic,ModifiedABC,2.0037188690480434e-06
Rastrigin-2d,cahotic,ModifiedABC,5.770982269837077e-08
Rastrigin-2d,random,ABC/best/1,8.100187187665142e-13
Rastrigin-2d,random,ABC/best/1,1.901273805060555e-09
Rastrigin-2d,random,ABC/best/1,2.629647610774555e-10
