Function,Initialization,Mutation,OptValue
Ackley-2d,cahotic,ModifiedABC,1.761652601572905e-09
Ackley-2d,cahotic,ModifiedABC,1.5029656186271723e-08
Ackley-2d,cahotic,ModifiedABC,5.999446717197543e-09
Ackley-2d,cahotic,ModifiedABC,1.0227769298154499e-08
Ackley-2d,cahotic,ModifiedABC,2.6649058515459956e-08
Ackley-2d,cahotic,ModifiedABC,7.001184076926847e-09
Ackley-2d,cahotic,ModifiedABC,2.8550819486383716e-09
Ackley-2d,cahotic,ModifiedABC,2.2518098496959738e-09
Ackley-2d,cahotic,ModifiedABC,1.358156698216817e-09
Ackley-2d,cahotic,ModifiedABC,3.3705416235818575e-09
Ackley-2d,cahotic,ModifiedABC,1.2395638737672243e-08
Ackley-2d,cahotic,ModifiedABC,2.3810433624760208e-09
Ackley-2d,cahotic,ModifiedABC,1.8454582306759448e-08
Ackley-2d,cahotic,ModifiedABC,2.5824609117819364e-09
Ackley-2d,cahotic,ModifiedABC,1.6604574160083985e-08
Ackley-2d,random,ABC/best/1,6.352355530481191e-09
Ackley-2d,random,ABC/best/1,1.0400477368222028e-08
Ackley-2d,random,ABC/best/1,9.26682774959886e-09
Ackley-2d,random,ABC/best/1,7.020983350258803e-09
Ackley-2d,random,ABC/best/1,1.58406696648683e-08
Ackley-2d,random,ABC/best/1,3.855472829883411e-09
Ackley-2d,random,ABC/best/1,9.534419875834033e-08
Ackley-2d,random,ABC/best/1,1.9970127773660806e-09
Ackley-2d,random,ABC/best/1,2.5489363952857502e-08
Ackley-2d,random,ABC/best/1,8.28370660954647e-09
Ackley-2d,random,ABC/best/1,1.0062806143906755e-08
Ackley-2d,random,ABC/best/1,2.694392708946225e-09
Ackley-2d,random,ABC/best/1,7.063085449843243e-08
Ackley-2d,random,ABC/best/1,1.327850940313624e-08
Ackley-2d,random,ABC/best/1,1.2217193035013452e-08
Ackley-2d,cahotic,ABC/best/1,9.356036390073541e-09
Ackley-2d,cahotic,ABC/best/1,3.543843307696193e-08
Ackley-2d,cahotic,ABC/best/1,2.067124471594184e-08
Ackley-2d,cahotic,ABC/best/1,6.696183607601824e-09
Ackley-2d,cahotic,ABC/best/1,3.269168491470964e-09
Ackley-2d,cahotic,ABC/best/1,9.885145590970978e-09
Ackley-2d,cahotic,ABC/best/1,7.083770459104244e-09
Ackley-2d,cahotic,ABC/best/1,3.0563651609583076e-08
Ackley-2d,cahotic,ABC/best/1,2.172302204783705e-08
Ackley-2d,cahotic,ABC/best/1,1.3363163464674699e-08
Ackley-2d,cahotic,ABC/best/1,1.5609864068011348e-08
Ackley-2d,cahotic,ABC/best/1,1.3343335769633313e-08
Ackley-2d,cahotic,ABC/best/1,4.764445282745555e-09
Ackley-2d,cahotic,ABC/best/1,9.336393436143453e-09
Ackley-2d,cahotic,ABC/best/1,2.8212174818520452e-09
Ackley-2d,random,ABC/best/2,4.637388473227588e-08
Ackley-2d,random,ABC/best/2,3.3865358961548964e-08
Ackley-2d,random,ABC/best/2,4.3338332478271013e-08
Ackley-2d,random,ABC/best/2,1.6504284605645125e-08
Ackley-2d,random,ABC/best/2,1.3576507473800348e-08
Ackley-2d,random,ABC/best/2,1.0269019856679051e-08
Ackley-2d,random,ABC/best/2,3.367885925698033e-08
Ackley-2d,random,ABC/best/2,7.232693111092203e-09
Ackley-2d,random,ABC/best/2,1.892879186726759e-09
Ackley-2d,random,ABC/best/2,8.924463390513893e-09
Ackley-2d,random,ABC/best/2,2.8417919128997937e-08
Ackley-2d,random,ABC/best/2,5.9031830534905794e-08
Ackley-2d,random,ABC/best/2,2.12240967023547e-08
Ackley-2d,random,ABC/best/2,3.3941423005501292e-09
Ackley-2d,random,ABC/best/2,9.503587694581483e-09
Ackley-2d,cahotic,ABC/best/2,2.767241769063844e-08
Ackley-2d,cahotic,ABC/best/2,4.813604137510197e-08
Ackley-2d,cahotic,ABC/best/2,5.316182383197088e-08
Ackley-2d,cahotic,ABC/best/2,2.9714766203170484e-08
Ackley-2d,cahotic,ABC/best/2,1.2601678367474278e-08
Ackley-2d,cahotic,ABC/best/2,1.4727671970860001e-08
Ackley-2d,cahotic,ABC/best/2,2.1275266437470464e-08
Ackley-2d,cahotic,ABC/best/2,3.465067921482046e-08
Ackley-2d,cahotic,ABC/best/2,1.2771082413820523e-08
Ackley-2d,cahotic,ABC/best/2,4.95625340768413e-08
Ackley-2d,cahotic,ABC/best/2,1.2275993999111279e-08
Ackley-2d,cahotic,ABC/best/2,1.888741651967507e-08
Ackley-2d,cahotic,ABC/best/2,7.601122975486874e-08
Ackley-2d,cahotic,ABC/best/2,7.83330422748918e-09
Ackley-2d,cahotic,ABC/best/2,2.6503873318262094e-08
Ackley-2d,random,DirectedABC,2.886579864025407e-14
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,3.1727478422283184e-09
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,1.340483279932414e-11
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,3.2982225839361945e-09
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,4.0611514151578376e-11
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,3.9968028886505635e-15
Ackley-2d,random,DirectedABC,5.155875726359227e-13
Ackley-2d,random,DirectedABC,4.440892098500626e-16
Ackley-2d,random,DirectedABC,3.4911740165455285e-09
Ackley-2d,cahotic,DirectedABC,3.4998226539073585e-11
Ackley-2d,cahotic,DirectedABC,1.4654943925052066e-14
Ackley-2d,cahotic,DirectedABC,6.742770786161145e-10
Ackley-2d,cahotic,DirectedABC,3.172262452721952e-11
Ackley-2d,cahotic,DirectedABC,4.440892098500626e-16
Ackley-2d,cahotic,DirectedABC,4.440892098500626e-16
Ackley-2d,cahotic,DirectedABC,1.892930256985892e-11
Ackley-2d,cahotic,DirectedABC,4.440892098500626e-16
Ackley-2d,cahotic,DirectedABC,1.709743457922741e-13
Ackley-2d,cahotic,DirectedABC,7.688516490134134e-12
Ackley-2d,cahotic,DirectedABC,5.980682615813748e-11
Ackley-2d,cahotic,DirectedABC,3.439470930288735e-12
Ackley-2d,cahotic,DirectedABC,4.440892098500626e-16
