Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Weierstrass-10d,random,DirectedABC,5.55525995575105e-12,1.2692915862220476e-11,5.044853423896711e-13,0.0,4.080291660102375e-11
Weierstrass-10d,cahotic,DirectedABC,3.4880542898463317e-12,7.996657917789923e-12,3.836930773104541e-13,0.0,3.137046178380842e-11
Griewank-10d,random,StandardABC,0.0014792450179211972,0.002958490038145185,1.1102230246251565e-16,0.0,0.007396594410577273
Griewank-10d,cahotic,StandardABC,0.0014782257148540237,0.0037953931505694464,1.1102230246251565e-16,0.0,0.01231610110635828
Griewank-10d,random,ModifiedABC,0.02397646741600819,0.013405988949955957,0.02044006395780229,0.009296137484027245,0.05250907301268426
Griewank-10d,cahotic,ModifiedABC,0.018177737878504303,0.01866551271924344,0.011480203550695234,5.18689456718846e-07,0.06066326008930345
Griewank-10d,random,ABC/best/1,0.0011971340583726434,0.0031063221775063953,1.1102230246251565e-16,0.0,0.010560970539628123
Griewank-10d,cahotic,ABC/best/1,0.001902394206097139,0.0033311752363794087,6.11416695051048e-10,0.0,0.009864672061007052
Griewank-10d,random,ABC/best/2,0.0009862202323920619,0.0025141420157214138,1.5252268337206942e-09,5.684341886080802e-14,0.007396052229544314
Griewank-10d,cahotic,ABC/best/2,0.000493072364003703,0.0018448963467409781,4.336428993667596e-10,1.3039569424222464e-12,0.007396042407586845
Griewank-10d,random,DirectedABC,0.0004930694362987727,0.0018448965754254256,1.1102230246251565e-16,0.0,0.007396040335573173
Griewank-10d,cahotic,DirectedABC,0.0014806852042193045,0.002961374008708726,1.1102230246251565e-16,0.0,0.007418028256693909
Schwefel-10d,random,StandardABC,0.00012727566251366322,3.0916874878996085e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,cahotic,StandardABC,0.00012727566263492918,0.0,0.00012727566263492918,0.00012727566263492918,0.00012727566263492918
Schwefel-10d,random,ModifiedABC,0.00012727566354442388,4.393276790684904e-12,0.00012727566263492918,0.00012727566172543447,0.0001272756799153285
Schwefel-10d,cahotic,ModifiedABC,0.00012727566245303025,4.925846590677467e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566354442388
Schwefel-10d,random,ABC/best/1,0.00012728275038777307,8.841110747675003e-09,0.00012727903776976746,0.00012727568264381262,0.00012731001515930984
Schwefel-10d,cahotic,ABC/best/1,0.00012728187703032746,6.627395304187595e-09,0.00012727980720228516,0.0001272756726393709,0.0001273017396670184
Schwefel-10d,random,ABC/best/2,0.0001272991496080067,2.1303377479444686e-08,0.00012729027366731316,0.00012727607463602908,0.00012734786105284002
Schwefel-10d,cahotic,ABC/best/2,0.00012729794658904818,2.230940580632736e-08,0.00012728917954518693,0.00012727666216960642,0.00012734520078083733
