Function,Initialization,Diversity
Sumsquares-2d,cahotic,5.9674962513082646
Sumsquares-2d,cahotic,5.0119959368691855
Sumsquares-2d,cahotic,5.166416781427339
Sumsquares-2d,cahotic,5.27254199827398
Sumsquares-2d,cahotic,5.199576852208097
Sumsquares-2d,cahotic,5.531957067783789
Sumsquares-2d,cahotic,5.502745644512503
Sumsquares-2d,cahotic,5.308681870868672
Sumsquares-2d,cahotic,5.081831367940248
Sumsquares-2d,cahotic,5.546619427002438
Eggholder,random,271.2783819216113
Eggholder,random,267.6396704921195
Eggholder,random,300.57758090694443
Eggholder,random,263.3954407195598
Eggholder,random,270.15498730558033
Eggholder,random,243.69866677963182
Eggholder,random,294.42160480697436
Eggholder,random,256.05342657406186
Eggholder,random,265.17068561743406
Eggholder,random,297.45426174793414
Eggholder,random,280.85816925463956
Eggholder,random,272.45731871883595
Eggholder,random,262.36584270862124
Eggholder,random,288.6447119546094
Eggholder,random,246.63457488717384
Eggholder,cahotic,317.0013548691214
Eggholder,cahotic,349.1774355406971
Eggholder,cahotic,338.78107698550514
Eggholder,cahotic,333.43985218140244
Eggholder,cahotic,334.73949757462185
Eggholder,cahotic,355.8340883066189
Eggholder,cahotic,350.8643829145941
Eggholder,cahotic,331.025746742155
Eggholder,cahotic,358.6824486903601
Eggholder,cahotic,304.19689694094217
Eggholder,cahotic,351.50349804400656
Eggholder,cahotic,386.073976294839
Eggholder,cahotic,368.72594710687304
Eggholder,cahotic,334.60311601792813
Eggholder,cahotic,370.77313359077095
Sphere-10d,random,2.908336050909753
Sphere-10d,random,2.827017931062589
Sphere-10d,random,2.9717857513523023
Sphere-10d,random,2.8156630383468206
Sphere-10d,random,2.929426103995827
Sphere-10d,random,2.814727324021119
Sphere-10d,random,3.0009234911790603
Sphere-10d,random,2.832855977296153
Sphere-10d,random,2.8138909959797127
Sphere-10d,random,2.922083622726011
Sphere-10d,random,2.8594100414416768
Sphere-10d,random,2.9102896731456065
Sphere-10d,random,2.7931052495209685
Sphere-10d,random,2.8511320208650317
Sphere-10d,random,2.836191541442162
Sphere-10d,cahotic,3.2675987183911537
Sphere-10d,cahotic,3.2428447806403473
Sphere-10d,cahotic,3.2581605056299834
Sphere-10d,cahotic,3.28506153205062
Sphere-10d,cahotic,3.2673036466570573
Sphere-10d,cahotic,3.2723185733429943
Sphere-10d,cahotic,3.105969183411628
Sphere-10d,cahotic,3.380775479584492
Sphere-10d,cahotic,3.3999011745917875
Sphere-10d,cahotic,3.3065502435984784
Sphere-10d,cahotic,3.405915931936619
Sphere-10d,cahotic,3.3134101936330014
Sphere-10d,cahotic,3.276935840779312
Sphere-10d,cahotic,3.2770498581379384
Sphere-10d,cahotic,3.2061356033546353
Rosenbrock-10d,random,1.1443518900327931
Rosenbrock-10d,random,1.1524931246702865
Rosenbrock-10d,random,1.1295168754027514
Rosenbrock-10d,random,1.1239759825564286
Rosenbrock-10d,random,1.169193393471351
Rosenbrock-10d,random,1.1426741027791076
Rosenbrock-10d,random,1.171846413315278
Rosenbrock-10d,random,1.1666954792181479
Rosenbrock-10d,random,1.1937659538865384
Rosenbrock-10d,random,1.1371056265240898
Rosenbrock-10d,random,1.2121619642066637
Rosenbrock-10d,random,1.1357375982728215
Rosenbrock-10d,random,1.16040861934936
Rosenbrock-10d,random,1.165762108844509
Rosenbrock-10d,random,1.1647371066516792
Rosenbrock-10d,cahotic,1.3375458940066414
Rosenbrock-10d,cahotic,1.3343903179618846
Rosenbrock-10d,cahotic,1.3942411367196643
Rosenbrock-10d,cahotic,1.3368514198015184
Rosenbrock-10d,cahotic,1.3281681492048585
Rosenbrock-10d,cahotic,1.3074058682301717
Rosenbrock-10d,cahotic,1.3196988324334165
Rosenbrock-10d,cahotic,1.3481702878625168
Rosenbrock-10d,cahotic,1.3112625095409072
Rosenbrock-10d,cahotic,1.3503453019573228
Rosenbrock-10d,cahotic,1.3596019595571636
Rosenbrock-10d,cahotic,1.3449043546244683
Rosenbrock-10d,cahotic,1.3657905291353742
Rosenbrock-10d,cahotic,1.3565757698664205
Rosenbrock-10d,cahotic,1.3241049796026618
Ackley-10d,random,2.7863558376054764
Ackley-10d,random,2.9008064436582766
Ackley-10d,random,2.8913445678323946
Ackley-10d,random,2.7640073271476773
Ackley-10d,random,2.862245553313492
Ackley-10d,random,2.82155668103034
Ackley-10d,random,2.8669895158278864
Ackley-10d,random,2.6957558359977742
Ackley-10d,random,2.8249482434236906
Ackley-10d,random,2.849515825876622
Ackley-10d,random,2.8473998836453775
Ackley-10d,random,2.86507878458444
Ackley-10d,random,2.906121952222893
Ackley-10d,random,2.884919010163124
Ackley-10d,random,2.775359473730811
Ackley-10d,cahotic,3.3086340194395927
Ackley-10d,cahotic,3.3418965380200025
Ackley-10d,cahotic,3.4623521808854925
Ackley-10d,cahotic,3.2750003672347447
Ackley-10d,cahotic,3.192593285272654
Ackley-10d,cahotic,3.352859403626776
Ackley-10d,cahotic,3.371422512056938
Ackley-10d,cahotic,3.255860985049212
Ackley-10d,cahotic,3.4529488224147866
Ackley-10d,cahotic,3.376874841613154
Ackley-10d,cahotic,3.3177402242352283
